index,image_name,mean_error_px,rms_error_px,max_error_px,num_points
0,20260602_221616.jpg,0.3009454905986786,0.34605324268341064,1.0402430295944214,70
1,20260602_221624.jpg,0.3824998438358307,0.43417075276374817,1.1082546710968018,70
2,20260602_221628.jpg,0.16595646739006042,0.1819816380739212,0.3946077823638916,70
3,20260602_221636.jpg,0.19686777889728546,0.2251424789428711,0.6497206091880798,70
4,20260602_221641.jpg,0.2441367357969284,0.2702920436859131,0.5503208637237549,70
5,20260602_221650.jpg,0.3124823272228241,0.34853819012641907,0.8591143488883972,70
6,20260602_221655.jpg,0.17885875701904297,0.2002069652080536,0.44222158193588257,70
7,20260602_221712.jpg,0.28921186923980713,0.32871556282043457,0.7281709909439087,70
8,20260602_221718.jpg,0.27349549531936646,0.3127094507217407,0.9239930510520935,70
9,20260602_221724.jpg,0.2534855902194977,0.30462712049484253,0.911665141582489,70
10,20260602_221818.jpg,0.1614912450313568,0.19085590541362762,0.6066929697990417,70
